Uphill Blak Elytic Becket Zery   || <- 1 ||  eden  ||  Timo Nookie Diddy Ruski Suddi 
"Toxic", "Diddy", "Becket", "Elytic", "Timo",   || <- 1 ||  boomtown  ||  "Haboo", "Foy", "Naicrez", "Blak", "Suddi", EU
"Toxic", "Diddy", "Becket", "Elytic", "Timo",   || -> 0 ||  exo  ||  "Haboo", "Foy", "Naicrez", "Blak", "Suddi", EU
"Toxic", "Diddy", "Becket", "Elytic", "Timo",   || <- 1 ||  eden  ||  "Haboo", "Foy", "Naicrez", "Blak", "Suddi", EU
"Toxic", "Diddy", "Becket", "Elytic", "Timo",   || -> 1 ||  drydock  ||  "Haboo", "Foy", "Naicrez", "Blak", "Suddi", EU
"Uphill", "Zery", "Becket", "Elytic", "Naicrez",   || -> 0 ||  eden  ||  "Toxic", "Diddy", "Mitter", "Stn", "Suddi", EU
"Uphill", "Zery", "Becket", "Elytic", "Naicrez",   || <- 0 ||  boomtown  ||  "Toxic", "Diddy", "Mitter", "Stn", "Suddi", EU
"Uphill", "Zery", "Becket", "Elytic", "Naicrez",   || -> 0 ||  exo  ||  "Toxic", "Diddy", "Mitter", "Stn", "Suddi", EU
"Uphill", "Zery", "Becket", "Elytic", "Naicrez",   || <- 0 ||  drydock  ||  "Toxic", "Diddy", "Mitter", "Stn", "Suddi", EU
"Uphill", "Zery", "Becket", "Elytic", "Naicrez",   || -> 1 ||  eden  ||  "Toxic", "Diddy", "Mitter", "Stn", "Suddi", EU
"Toxic", "Squishy", "Naicrez", "Nookie", "Blak",   || -> 2 ||  exo  ||  "Becket", "Timo", "Bobby", "Titan", "Suddi", EU
"Skitts", "Squishy", "Becket", "Naicrez", "Timo",   || -> 2 ||  drydock  ||  "Nookie", "Bobby", "Toxic", "Blak", "Suddi", EU
"Skitts", "Squishy", "Becket", "Naicrez", "Timo",   || -> 3 ||  angel  ||  "Nookie", "Bobby", "Toxic", "Blak", "Suddi", EU
"Skitts", "Squishy", "Becket", "Naicrez", "Timo",   || <- 0 ||  eden  ||  "Nookie", "Bobby", "Toxic", "Blak", "Suddi", EU
"Skitts", "Squishy", "Becket", "Naicrez", "Timo",   || -> 2 ||  drydock  ||  "Nookie", "Bobby", "Toxic", "Blak", "Suddi", EU
"Skitts", "Squishy", "Becket", "Naicrez", "Timo",   || <- 0 ||  eden  ||  "Nookie", "Bobby", "Toxic", "Blak", "Suddi", EU
"Skitts", "Squishy", "Becket", "Naicrez", "Timo",   || -> 3 ||  angel  ||  "Nookie", "Bobby", "Toxic", "Blak", "Suddi", EU
"Toxic", "Squishy", "Becket", "Bobby", "Timo",   || -> 1 ||  glitch  ||  "Nookie", "Naicrez", "Skitts", "Blak", "Suddi", EU
"Toxic", "Squishy", "Becket", "Bobby", "Timo",   || <- 1 ||  colony  ||  "Nookie", "Naicrez", "Skitts", "Blak", "Suddi", EU
"Squishy", "Zery", "Naicrez", "Bobby", "Blak",   || -> 1 ||  boomtown  ||  "Toxic", "Haboo", "Mitter", "Becket", "Suddi", EU
"Timo", "Squishy", "Zery", "Naicrez", "Bobby",   || -> 2 ||  exo  ||  "Mitter", "Haboo", "Becket", "Toxic", "Suddi", EU
"Timo", "Squishy", "Zery", "Naicrez", "Bobby",   || -> 1 ||  eden  ||  "Mitter", "Haboo", "Becket", "Toxic", "Suddi", EU
"Toxic", "Squishy", "Haboo", "Bobby", "Becket",   || -> 0 ||  drydock  ||  "Zery", "Naicrez", "Mitter", "Timo", "Suddi", EU
"Toxic", "Squishy", "Haboo", "Bobby", "Becket",   || -> 1 ||  angel  ||  "Zery", "Naicrez", "Mitter", "Timo", "Suddi", EU
"Toxic", "Daire", "Bobby", "Becket", "Zto",   || -> 3 ||  exo  ||  "Squishy", "Blak", "Naicrez", "Skitts", "Timo", EU
"Toxic", "Daire", "Bobby", "Becket", "Zto",   || -> 1 ||  eden  ||  "Squishy", "Blak", "Naicrez", "Skitts", "Timo", EU
"Toxic", "Daire", "Bobby", "Becket", "Zto",   || -> 4 ||  drydock  ||  "Squishy", "Blak", "Naicrez", "Skitts", "Timo", EU
"Toxic", "Squishy", "Blak", "Skitts", "Becket",   || -> 5 ||  angel  ||  "Naicrez", "Zery", "Bobby", "Timo", "Zto", EU
"Toxic", "Squishy", "Blak", "Skitts", "Becket",   || <- 1 ||  colony  ||  "Naicrez", "Zery", "Bobby", "Timo", "Zto", EU
